Pair	Ecotype	Population.ID	VH	WW	MSA	MSD	SBA	AREA	ELONG	DISS	CIRC
D03-H02	Dune	D03	1.050186671	0.311098721	-1.069819936	1.162033761	0.760547762	0.597423862	-0.139887554	-0.455259013	0.542546052
D03-H02	Dune	D03	0.644530812	1.03764331	-1.069819936	0.541394243	1.074092192	0.681696279	-0.429131593	-0.490838143	-0.339293426
D03-H02	Dune	D03	0.805033335	0.043978862	0.854769809	1.320246958	0.817727683	1.135876659	0.824096675	1.42363111	0.221082263
D03-H02	Dune	D03	0.182986899	0.346917402	1.393063958	1.187384571	0.760547762	0.891548689	-0.612830068	-0.399539448	-0.353588437
D03-H02	Dune	D03	1.116371016	1.396096303	0.851687897	0.940257459	1.038783841	0.58499631	0.09787578	-0.320932812	-1.123925776
D03-H02	Dune	D03	2.023386867	1.56954701	0.274088581	0.161131755	1.074092192	0.576758241	-0.955830861	-0.685169197	-0.094889629
D03-H02	Dune	D03	1.26527859	-0.247364277	1.186202035	-1.315003815	0.817727683	0.871448963	-0.662698046	-0.612594832	0.116109442
D03-H02	Dune	D03	1.369891491	0.450088238	0.636492963	0.502712198	0.817727683	1.182498889	-0.545144883	-0.094833297	-0.112206579
D03-H02	Dune	D03	1.669796199	0.827936339	0.854769809	2.281725669	1.074092192	0.954402464	0.198032244	-0.297978983	0.821762393
D03-H02	Dune	D03	1.662267892	1.249059455	0.938575375	2.082428402	1.107284965	2.09359546	0.363234772	0.249555151	0.582482639
D03-H02	Dune	D03	0.913115979	0.90215303	-1.069819936	1.023093284	0.869555488	0.331217601	-0.39296886	-0.523674989	-0.214144447
D03-H02	Dune	D03	1.290997247	1.24556656	1.186202035	0.66726015	0.869555488	0.995160474	-0.206508596	-0.099091661	0.429357872
D03-H02	Dune	D03	-0.078763769	-0.900747778	0.75619129	-1.177471294	0.444378252	0.503434663	-0.910476099	-0.594531753	-0.103533303
D03-H02	Dune	D03	1.475184091	1.24556656	-1.069819936	0.824859619	0.817727683	1.098256996	-0.494827286	0.643397893	-0.734450366
D03-H02	Dune	D03	0.980276486	-0.423237996	1.393063958	0.217164633	0.760547762	1.984411461	0.055818965	0.414908999	0.124036179
D03-H02	Dune	D03	1.074663656	-1.313922172	1.426634074	-0.826467073	0.760547762	0.824838373	-0.431582928	0.222263804	0.068020794
D03-H02	Dune	D03	1.666037749	1.280179141	-1.069819936	0.443417522	0.869555488	2.774379751	-0.066568058	0.568702245	-0.014213471
D03-H02	Dune	D03	0.409460684	0.827936339	-1.069819936	1.383857056	0.62471226	0.28454607	-0.962141578	-0.613506452	-0.056354085
D03-H02	Dune	D03	1.560006579	1.620863261	1.458306533	2.462804052	1.107284965	1.140917385	-0.37659513	-0.324060989	-0.455978603
D03-H02	Dune	D03	1.080708276	-1.29841741	1.31921342	-0.757250645	1.001071767	1.509433871	-1.097884756	-0.586951377	-0.458467643
D03-H02	Dune	D03	1.162382454	-0.840627065	1.393063958	1.17655477	1.107284965	0.627370407	-0.893915467	-0.691526241	0.006596779
D03-H02	Dune	D03	1.34577099	0.935996392	0.636492963	1.268731207	0.817727683	1.414223861	-0.119595738	-0.239114342	0.383341637
D04-H05	Dune	D04	0.926841718	0.850100484	0.938575375	1.337160963	-0.032305411	0.745095324	-1.166538018	-0.732687657	-0.341670337
D04-H05	Dune	D04	1.917355697	1.266417907	0.636492963	1.499677784	1.074092192	1.322842234	-0.828142629	-0.280941119	-0.580912889
D04-H05	Dune	D04	0.71124036	0.614390861	0.484086792	-0.296401464	0.696781674	-0.131003579	-1.169907759	-0.712906976	-0.441095547
D04-H05	Dune	D04	1.950724822	1.781599605	0.274088581	2.358053863	0.916947912	1.243606721	-0.072903802	-0.303916471	0.039541531
D04-H05	Dune	D04	0.926841718	0.832392166	0.938575375	1.272202398	0.696781674	0.603595525	-0.830462903	-0.374012744	-0.518950344
D04-H05	Dune	D04	1.374659892	0.693402649	1.01146409	0.602872635	0.817727683	0.920512361	-0.159260927	0.415204139	-0.652482282
D04-H05	Dune	D04	1.068589479	1.42782433	0.938575375	-0.040504257	0.541848705	0.055621361	0.159266025	-0.369469639	-0.120909646
D04-H05	Dune	D04	1.068589479	1.595397259	1.01146409	1.55849149	0.541848705	0.857120452	-0.353307715	-0.29243937	0.226788445
D04-H05	Dune	D04	1.393552527	1.001741227	-1.069819936	0.968208415	0.960604622	0.910968967	-1.015641658	-0.594284272	-0.273629946
D04-H05	Dune	D04	1.416771274	-0.568107169	1.393063958	-0.065454888	0.869555488	1.340725725	-0.797215434	1.279625658	-1.671307499
D04-H05	Dune	D04	0.635934468	1.586823774	0.636492963	0.43338191	0.541848705	0.567472277	-1.041413349	-0.569171789	-1.034830406
D04-H05	Dune	D04	0.653068075	0.782728848	0.75619129	-0.03430944	0.696781674	1.69300745	0.335807674	1.05577935	-1.019245177
D04-H05	Dune	D04	1.514072488	1.892970074	1.075955086	-0.021970562	0.444378252	1.429984515	0.37688534	-0.175627321	0.550918264
D04-H05	Dune	D04	1.162382454	1.220914847	0.274088581	0.584133862	0.62471226	2.128612653	-0.35400101	0.489525994	-0.318001069
D04-H05	Dune	D04	0.973721501	0.494020504	1.13378504	1.564594222	0.960604622	0.511951956	-0.621235239	-0.495712853	0.201968261
D04-H05	Dune	D04	1.393552527	1.434100032	0.854769809	0.850089034	0.869555488	0.388540202	-0.561744185	-0.429223552	0.100181126
D04-H05	Dune	D04	0.805033335	0.759669758	0.864803769	1.162033761	0.62471226	0.323681414	-1.342835495	-0.669707602	-0.513854587
D04-H05	Dune	D04	1.483931781	1.79433769	-1.069819936	0.60753313	0.760547762	0.565307556	-1.49611364	-0.687892436	-1.000668619
D04-H05	Dune	D04	1.539337769	1.252545244	1.01146409	0.639890007	1.001071767	1.318622733	0.368341233	-0.166140977	0.589077929
D04-H05	Dune	D04	0.644530812	0.717364781	0.636492963	0.161131755	0.541848705	0.119666041	-0.408873436	-0.348793263	-0.767995131
D04-H05	Dune	D04	1.547646608	2.370803633	-1.069819936	2.683034556	0.541848705	0.716600844	-0.096889358	0.021733091	-0.131830727
D04-H05	Dune	D04	0.926841718	0.510208951	1.075955086	0.166798029	0.696781674	0.572454743	-0.741316965	-0.229291369	-1.239892065
D04-H05	Dune	D04	1.479565636	1.563749155	1.31921342	2.66999859	0.760547762	1.363964427	-0.811175272	-0.560862288	-0.416483189
D04-H05	Dune	D04	1.402892171	1.213805855	0.938575375	0.99973436	1.074092192	1.824247629	0.362628259	1.774012349	-0.534299438
D04-H05	Dune	D04	1.321172824	1.474341156	0.636492963	2.398433456	0.696781674	0.641628493	-0.653470496	-0.503183113	-0.915735388
D04-H05	Dune	D04	1.043991313	1.001741227	1.13378504	0.944271698	0.760547762	0.846037166	0.075946334	-0.05820548	0.621799227
D04-H05	Dune	D04	1.453041494	2.191300115	0.864803769	1.162033761	0.817727683	0.999412866	-0.732830465	1.063464698	-1.73645818
D04-H05	Dune	D04	1.639405281	2.313658799	0.864803769	1.162033761	0.817727683	1.520333158	-1.161218163	-0.610099438	-0.336918759
D04-H05	Dune	D04	1.535162414	1.954164598	-1.069819936	2.058069923	0.326025387	1.969816156	-0.942897573	-0.493887201	-0.663259294
D04-H05	Dune	D04	1.425938598	0.956813957	1.186202035	0.807882026	1.038783841	1.489067875	-0.81278883	-0.416564922	-0.243712551
D05-H06	Dune	D05	0.440133027	0.542134058	-1.069819936	0.662721437	0.326025387	0.64571996	-0.734225103	-0.310410098	-1.0161396
D05-H06	Dune	D05	0.953846408	1.492599921	-1.069819936	0.689817872	-0.032305411	0.808476629	-0.918435314	0.119534276	-0.942725975
D05-H06	Dune	D05	0.231705567	1.080525889	0.636492963	1.003644334	-0.368197774	0.404003982	-1.697793934	-0.850867494	-1.828868149
D05-H06	Dune	D05	0.863845114	0.889287403	-0.06562228	0.387661377	1.107284965	0.289040838	-1.841016662	-0.877387581	-2.071105766
D05-H06	Dune	D05	0.60094154	0.198917708	-0.06562228	0.546183235	-0.032305411	-0.78716629	-1.115619642	-0.398985213	-0.353588437
D05-H06	Dune	D05	0.157891767	-0.23073051	-1.069819936	-0.009698743	-0.032305411	-0.449003189	0.064164855	-0.465869539	-0.813424027
D05-H06	Dune	D05	0.106127327	-0.23073051	0.274088581	-0.214531138	0.916947912	-0.491659418	-0.673802999	-0.672064979	-0.801990174
